district_id,state,district_num,geoid,party_control,rep_name,rep_party,first_elected,tenure_years,pvi,cook_rating,baseline_win_prob_r,incumbent_running,is_open_seat,mode,fec_raised_r_2024,fec_spent_r_2024,fec_raised_d_2024,fec_spent_d_2024,fec_outside_2024,fec_raised_r_2022,fec_spent_r_2022,fec_raised_d_2022,fec_spent_d_2022,fec_raised_r_2026,fec_spent_r_2026,fec_raised_d_2026,fec_spent_d_2026,hist_cost_to_compete,incremental_cost,pop_total,vap,median_income,pct_white,pct_black,pct_hispanic,pct_asian,pct_ba_plus,pct_urban,civic_election_id,civic_candidates_json,notes,data_source_flags
AR-03,AR,3,0503,R,William Hernandez,R,2019,7.0,0.9,Toss-up,,True,False,defend,8019240.0,7601962.0,5299472.0,4135621.0,6533191.0,8616103.0,6650529.0,5607763.0,5141840.0,1473915.0,2652620.0,1086197.0,1789441.0,6824508.0,,732574,562683,86904.0,0.7157,0.1123,0.0982,0.0738,0.2844,0.449,,"{""office"": ""U.S. Representative, District 03"", ""candidates"": [{""name"": ""William Hernandez"", ""party"": ""R""}, {""name"": ""Nancy Ramirez"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AR-04,AR,4,0504,R,Barbara Lopez,R,2024,2.0,10.9,Solid R,,True,False,defend,7598365.0,5852056.0,6748757.0,6082713.0,3216591.0,4920128.0,4566341.0,6128431.0,5542450.0,2153795.0,2427753.0,3070771.0,885170.0,5342869.0,,793364,584811,73297.0,0.6927,0.1176,0.1448,0.0449,0.3697,0.9179,,"{""office"": ""U.S. Representative, District 04"", ""candidates"": [{""name"": ""Barbara Lopez"", ""party"": ""R""}, {""name"": ""Ashley Jones"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-01,AZ,1,0401,R,Richard Gonzalez,R,2019,7.0,-0.1,Toss-up,,True,False,defend,11749524.0,11042695.0,10441758.0,8540654.0,8293766.0,11633800.0,9908883.0,8767786.0,7184703.0,6078931.0,3341426.0,2028159.0,3645326.0,11619356.0,,739831,560522,113898.0,0.2224,0.1386,0.5602,0.0787,0.2954,0.2701,,"{""office"": ""U.S. Representative, District 01"", ""candidates"": [{""name"": ""Richard Gonzalez"", ""party"": ""R""}, {""name"": ""Patricia Jackson"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-02,AZ,2,0402,D,Susan Wilson,D,2017,9.0,2.4,Tilt R,,True,False,attack,8132620.0,7597670.0,8301867.0,7997960.0,9821700.0,8527188.0,7764583.0,5101495.0,4809360.0,1350507.0,898936.0,1660120.0,1671658.0,8075907.0,,819883,610060,81381.0,0.5666,0.1559,0.2517,0.0258,0.2881,0.9443,,"{""office"": ""U.S. Representative, District 02"", ""candidates"": [{""name"": ""Susan Wilson"", ""party"": ""D""}, {""name"": ""Elizabeth Williams"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-03,AZ,3,0403,R,Joseph Anderson,R,2013,13.0,12.8,Solid R,,True,False,safe,5558962.0,4982908.0,4447788.0,3921415.0,1092683.0,5308544.0,5136471.0,4848544.0,3972455.0,2119115.0,1444956.0,1822229.0,1477459.0,3460334.0,,710177,554757,39044.0,0.6421,0.128,0.2159,0.014,0.4314,0.8311,,"{""office"": ""U.S. Representative, District 03"", ""candidates"": [{""name"": ""Joseph Anderson"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-04,AZ,4,0404,R,Jessica Thomas,R,2023,3.0,5.1,Lean R,,True,False,defend,3512778.0,3091693.0,2897553.0,2641005.0,3103873.0,2642847.0,2378720.0,2358468.0,1940381.0,1633347.0,754346.0,934656.0,689049.0,2907726.0,,751641,587105,38000.0,0.4422,0.0888,0.429,0.0399,0.1859,0.2133,,"{""office"": ""U.S. Representative, District 04"", ""candidates"": [{""name"": ""Jessica Thomas"", ""party"": ""R""}, {""name"": ""Patricia Thompson"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-05,AZ,5,0405,R,Thomas Taylor,R,2015,11.0,22.8,Solid R,,True,False,safe,3174351.0,3006129.0,2469212.0,2063324.0,172764.0,3174145.0,2819254.0,1869750.0,1453777.0,939505.0,1071435.0,1353587.0,695408.0,1283911.0,,805232,647195,78598.0,0.552,0.0415,0.3904,0.0162,0.2857,0.5299,,"{""office"": ""U.S. Representative, District 05"", ""candidates"": [{""name"": ""Thomas Taylor"", ""party"": ""R""}, {""name"": ""Sarah King"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-06,AZ,6,0406,D,Sarah Moore,D,2023,3.0,-2.5,Tilt D,,True,False,attack,2325755.0,1824915.0,3440386.0,2723455.0,3843781.0,1585875.0,1205692.0,2349623.0,1888054.0,620567.0,458311.0,1323097.0,681152.0,2825409.0,,773315,621459,68556.0,0.2139,0.1184,0.5931,0.0747,0.4885,0.5379,,"{""office"": ""U.S. Representative, District 06"", ""candidates"": [{""name"": ""Sarah Moore"", ""party"": ""D""}, {""name"": ""Karen Jackson"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-07,AZ,7,0407,D,Christopher Jackson,D,2021,5.0,-4.3,Lean D,,True,False,attack,7472629.0,6517810.0,10006184.0,7746241.0,4894141.0,4700689.0,4517304.0,7837886.0,7015625.0,1651471.0,1133274.0,2267814.0,574825.0,8124152.0,,772886,598177,108631.0,0.4602,0.1661,0.3268,0.0469,0.3095,0.857,,"{""office"": ""U.S. Representative, District 07"", ""candidates"": [{""name"": ""Christopher Jackson"", ""party"": ""D""}, {""name"": ""Nancy Martin"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-08,AZ,8,0408,D,Karen Martin,D,2015,11.0,-3.2,Tilt D,,True,False,attack,4933685.0,4800759.0,6221162.0,6074672.0,2690272.0,5382171.0,4944941.0,5662370.0,5223515.0,1423847.0,430025.0,1035069.0,1761851.0,5356558.0,,690950,530477,66712.0,0.2554,0.1784,0.5007,0.0655,0.1913,0.9428,,"{""office"": ""U.S. Representative, District 08"", ""candidates"": [{""name"": ""Karen Martin"", ""party"": ""D""}, {""name"": ""Kenneth Clark"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
AZ-09,AZ,9,0409,D,Daniel Lee,D,2009,17.0,-2.2,Tilt D,,False,False,attack,7274371.0,5848181.0,11539054.0,10304796.0,12312737.0,7281863.0,5468934.0,12258523.0,10644870.0,3061892.0,428331.0,3583363.0,3677386.0,9297595.0,,743504,596482,76235.0,0.7055,0.0818,0.199,0.0138,0.1492,0.944,,"{""office"": ""U.S. Representative, District 09"", ""candidates"": [{""name"": ""Daniel Lee"", ""party"": ""D""}, {""name"": ""Jessica Johnson"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-01,CA,1,0601,D,Lisa Perez,D,2020,6.0,-10.5,Solid D,,True,False,attack,3605510.0,3197723.0,4317618.0,3627857.0,3300216.0,2658749.0,2297932.0,4504479.0,3517568.0,1067777.0,252927.0,996470.0,238767.0,2994943.0,,800934,591697,108948.0,0.4973,0.0802,0.2269,0.1956,0.3406,0.446,,"{""office"": ""U.S. Representative, District 01"", ""candidates"": [{""name"": ""Lisa Perez"", ""party"": ""D""}, {""name"": ""Andrew Lewis"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-02,CA,2,0602,D,Matthew Thompson,D,2022,4.0,-7.3,Likely D,,True,False,attack,6859209.0,6030223.0,7981170.0,7439681.0,6852385.0,7191870.0,6119050.0,5726877.0,4922475.0,3758028.0,1731122.0,3797883.0,2560090.0,6274513.0,,814697,613087,76903.0,0.1433,0.1109,0.5467,0.1992,0.2343,0.2796,,"{""office"": ""U.S. Representative, District 02"", ""candidates"": [{""name"": ""Matthew Thompson"", ""party"": ""D""}, {""name"": ""James Lopez"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-03,CA,3,0603,D,Nancy White,D,2012,14.0,-10.9,Solid D,,True,False,attack,6592148.0,5257994.0,8260222.0,6769057.0,3100149.0,4073429.0,3445389.0,8920108.0,6693488.0,1284336.0,2035849.0,1243107.0,1672284.0,5531022.0,,774879,565894,68380.0,0.7058,0.0623,0.2049,0.027,0.4536,0.6271,,"{""office"": ""U.S. Representative, District 03"", ""candidates"": [{""name"": ""Nancy White"", ""party"": ""D""}, {""name"": ""Emily Ramirez"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-04,CA,4,0604,D,Anthony Harris,D,2013,13.0,-9.7,Likely D,,True,False,attack,3172274.0,2402031.0,3963872.0,3073764.0,2473837.0,2664494.0,2146455.0,3732498.0,3288027.0,1224746.0,967006.0,602099.0,1212988.0,2777388.0,,799356,593781,80061.0,0.4825,0.1773,0.3175,0.0227,0.327,0.6828,,"{""office"": ""U.S. Representative, District 04"", ""candidates"": [{""name"": ""Anthony Harris"", ""party"": ""D""}, {""name"": ""Donna Davis"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-05,CA,5,0605,D,Betty Sanchez,D,2010,16.0,-11.1,Solid D,,True,False,attack,6192517.0,5677251.0,8500225.0,7759524.0,4786559.0,6764239.0,5566598.0,6636704.0,6336091.0,2399800.0,543752.0,1763690.0,2192451.0,5430437.0,,723054,579394,83437.0,0.3797,0.1529,0.308,0.1594,0.4088,0.9847,,"{""office"": ""U.S. Representative, District 05"", ""candidates"": [{""name"": ""Betty Sanchez"", ""party"": ""D""}, {""name"": ""Donald Miller"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-06,CA,6,0606,D,Mark Clark,D,2023,3.0,-8.3,Likely D,,True,False,attack,8058216.0,6513801.0,8581474.0,7641606.0,5632964.0,8450257.0,7107665.0,8926365.0,8085972.0,3548096.0,1773463.0,3890573.0,2960824.0,6802305.0,,692155,535464,81202.0,0.4749,0.0675,0.4342,0.0234,0.367,0.15,,"{""office"": ""U.S. Representative, District 06"", ""candidates"": [{""name"": ""Mark Clark"", ""party"": ""D""}, {""name"": ""Kimberly Wright"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-07,CA,7,0607,D,OPEN SEAT,,,0.0,-8.3,Likely D,,False,True,attack,6729468.0,6178737.0,8320776.0,7738994.0,4936146.0,4354208.0,3370425.0,8693782.0,8327894.0,3339357.0,1947705.0,1580490.0,926262.0,6152540.0,,775463,611265,51083.0,0.5228,0.1796,0.243,0.0546,0.12,0.2067,,"{""office"": ""U.S. Representative, District 07"", ""candidates"": [{""name"": ""Jessica Brown"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-08,CA,8,0608,D,Margaret Ramirez,D,2019,7.0,-12.2,Solid D,,True,False,safe,5799222.0,4674331.0,6223708.0,4809387.0,3567358.0,4404894.0,4196270.0,5628539.0,4581440.0,1338665.0,613151.0,2233097.0,1185772.0,4258522.0,,764281,581552,72560.0,0.2826,0.1752,0.4159,0.1262,0.3534,0.5597,,"{""office"": ""U.S. Representative, District 08"", ""candidates"": [{""name"": ""Margaret Ramirez"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-09,CA,9,0609,D,OPEN SEAT,,,0.0,-12.4,Solid D,,False,True,safe,4663326.0,3601510.0,5409217.0,5109185.0,2340062.0,3953350.0,3458169.0,3544909.0,2793465.0,1171904.0,457443.0,2654699.0,1218525.0,3539492.0,,765528,570504,89058.0,0.296,0.1538,0.3122,0.238,0.1867,0.3268,,"{""office"": ""U.S. Representative, District 09"", ""candidates"": [], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-10,CA,10,0610,D,Donald Lewis,D,2021,5.0,-18.9,Solid D,,True,False,safe,3339101.0,2912015.0,3439699.0,2776296.0,447939.0,3575407.0,2814161.0,2271328.0,2194567.0,1686899.0,945659.0,1228195.0,678248.0,1765199.0,,742631,601243,79147.0,0.4917,0.0643,0.224,0.2199,0.3867,0.2867,,"{""office"": ""U.S. Representative, District 10"", ""candidates"": [{""name"": ""Donald Lewis"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-11,CA,11,0611,D,Sandra Robinson,D,2011,15.0,-13.4,Solid D,,True,False,safe,2721287.0,2553141.0,2960753.0,2725585.0,1018161.0,2929745.0,2300324.0,2018607.0,1941402.0,779798.0,176971.0,849622.0,853695.0,1917120.0,,707128,548336,75809.0,0.6561,0.0622,0.264,0.0177,0.4264,0.6717,,"{""office"": ""U.S. Representative, District 11"", ""candidates"": [{""name"": ""Sandra Robinson"", ""party"": ""D""}, {""name"": ""Kimberly Flores"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-12,CA,12,0612,R,Steven Walker,R,2021,5.0,5.9,Lean R,,True,False,defend,10497276.0,9320846.0,8780367.0,7540055.0,10729053.0,6310484.0,5230281.0,9629290.0,7614497.0,4421848.0,3189096.0,1458432.0,1623400.0,8528429.0,,717554,536794,70089.0,0.6526,0.0961,0.2091,0.0422,0.3468,0.924,,"{""office"": ""U.S. Representative, District 12"", ""candidates"": [{""name"": ""Steven Walker"", ""party"": ""R""}, {""name"": ""Richard Clark"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-13,CA,13,0613,D,Ashley Young,D,2013,13.0,-9.4,Likely D,,False,False,attack,5140441.0,4644505.0,8516032.0,7670979.0,4350566.0,4025828.0,3037673.0,8254210.0,6810596.0,1177798.0,1457035.0,4209067.0,1056023.0,5372457.0,,759083,577141,86828.0,0.2921,0.146,0.4191,0.1428,0.3129,0.3576,,"{""office"": ""U.S. Representative, District 13"", ""candidates"": [{""name"": ""Ashley Young"", ""party"": ""D""}, {""name"": ""Kimberly Brown"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-14,CA,14,0614,D,Paul Allen,D,2020,6.0,-20.2,Solid D,,True,False,safe,1935553.0,1723324.0,2725458.0,2322382.0,578935.0,1357328.0,1284597.0,2373982.0,1956421.0,711934.0,381202.0,1098035.0,409455.0,1128897.0,,708025,559438,90820.0,0.2345,0.1248,0.5651,0.0756,0.4625,0.5809,,"{""office"": ""U.S. Representative, District 14"", ""candidates"": [{""name"": ""Paul Allen"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-15,CA,15,0615,D,Kimberly King,D,2010,16.0,-18.9,Solid D,,False,False,safe,3803017.0,3549840.0,4956828.0,4674338.0,377646.0,3731881.0,3463549.0,4165241.0,3234776.0,1163818.0,1329469.0,1125380.0,476793.0,2281064.0,,799631,612233,80005.0,0.5112,0.1277,0.2788,0.0824,0.3016,0.6432,,"{""office"": ""U.S. Representative, District 15"", ""candidates"": [{""name"": ""Kimberly King"", ""party"": ""D""}, {""name"": ""Mary Wilson"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-16,CA,16,0616,R,Andrew Wright,R,2023,3.0,-1.4,Toss-up,,True,False,defend,10542839.0,9025493.0,10350471.0,8774081.0,2658208.0,9823043.0,8886130.0,6789106.0,5643564.0,4902268.0,3159014.0,4952621.0,1811330.0,10559479.0,,707939,568654,86309.0,0.4994,0.0924,0.2582,0.15,0.3416,0.5281,,"{""office"": ""U.S. Representative, District 16"", ""candidates"": [{""name"": ""Andrew Wright"", ""party"": ""R""}, {""name"": ""Richard Gonzalez"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-17,CA,17,0617,D,Emily Scott,D,2007,19.0,-5.3,Lean D,,True,False,attack,7153041.0,6718985.0,12431120.0,10864259.0,9781568.0,4635511.0,3575527.0,8412919.0,7073000.0,3183955.0,910121.0,5605584.0,2501807.0,8828540.0,,753863,583025,67755.0,0.7447,0.0298,0.2149,0.0106,0.2979,0.6329,,"{""office"": ""U.S. Representative, District 17"", ""candidates"": [{""name"": ""Emily Scott"", ""party"": ""D""}, {""name"": ""Robert Wright"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-18,CA,18,0618,D,Joshua Torres,D,2012,14.0,-12.0,Solid D,,True,False,safe,3109225.0,2801091.0,3098635.0,2530002.0,1996384.0,1999204.0,1759853.0,2132312.0,1869417.0,1496839.0,818223.0,497737.0,200908.0,2216206.0,,718494,529914,61893.0,0.1603,0.0862,0.4986,0.2549,0.4037,0.37,,"{""office"": ""U.S. Representative, District 18"", ""candidates"": [{""name"": ""Joshua Torres"", ""party"": ""D""}, {""name"": ""Anthony Rodriguez"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-19,CA,19,0619,D,Donna Nguyen,D,2010,16.0,-21.2,Solid D,,True,False,safe,2552566.0,2193933.0,2993174.0,2888936.0,111964.0,2023380.0,1617674.0,2201026.0,1947308.0,582482.0,647990.0,705302.0,238697.0,1265538.0,,744425,574838,71809.0,0.4067,0.113,0.3037,0.1766,0.1548,0.4509,,"{""office"": ""U.S. Representative, District 19"", ""candidates"": [{""name"": ""Donna Nguyen"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-20,CA,20,0620,D,Kenneth Hill,D,2005,21.0,-22.6,Solid D,,True,False,safe,2201462.0,2066196.0,2898507.0,2524582.0,626037.0,1381715.0,1050325.0,2257023.0,1901070.0,615473.0,736595.0,1103590.0,845950.0,1160243.0,,707509,528141,38000.0,0.2621,0.0572,0.4392,0.2415,0.1546,0.6081,,"{""office"": ""U.S. Representative, District 20"", ""candidates"": [{""name"": ""Kenneth Hill"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-21,CA,21,0621,D,Michelle Flores,D,2015,11.0,-16.4,Solid D,,True,False,safe,4231673.0,3494221.0,5514910.0,4708303.0,1687444.0,3776245.0,3233289.0,3662045.0,3301382.0,1573165.0,618733.0,1589906.0,902117.0,2879140.0,,754177,567222,102305.0,0.4645,0.0387,0.2662,0.2306,0.2563,0.8641,,"{""office"": ""U.S. Representative, District 21"", ""candidates"": [{""name"": ""Michelle Flores"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-22,CA,22,0622,D,James Smith,D,2022,4.0,1.9,Tilt R,,True,False,attack,7726565.0,7116134.0,8191556.0,7749158.0,6441777.0,7830062.0,6711336.0,8713787.0,6546310.0,3590225.0,1152918.0,4108110.0,1326362.0,7933591.0,,717890,559767,78715.0,0.2756,0.0297,0.447,0.2477,0.2452,0.3317,,"{""office"": ""U.S. Representative, District 22"", ""candidates"": [{""name"": ""James Smith"", ""party"": ""D""}, {""name"": ""Patricia Johnson"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-23,CA,23,0623,D,Mary Johnson,D,2013,13.0,-5.4,Lean D,,True,False,attack,5744718.0,4860333.0,8691511.0,6755319.0,6440180.0,6214578.0,5858327.0,8933318.0,7284329.0,1559798.0,1794077.0,1387062.0,1791644.0,6487641.0,,790738,584166,83057.0,0.3221,0.1648,0.4106,0.1025,0.4105,0.8553,,"{""office"": ""U.S. Representative, District 23"", ""candidates"": [{""name"": ""Mary Johnson"", ""party"": ""D""}, {""name"": ""Donna Anderson"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-24,CA,24,0624,D,Robert Williams,D,2017,9.0,-23.9,Solid D,,True,False,safe,1838690.0,1647234.0,1853721.0,1573209.0,235545.0,1527700.0,1158389.0,1596286.0,1393491.0,1006530.0,620764.0,308014.0,485191.0,840023.0,,776882,576005,87778.0,0.6157,0.0515,0.2378,0.095,0.3524,0.6206,,"{""office"": ""U.S. Representative, District 24"", ""candidates"": [{""name"": ""Robert Williams"", ""party"": ""D""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
CA-25,CA,25,0625,D,Patricia Brown,D,2010,16.0,-4.7,Lean D,,True,False,attack,6929031.0,6578975.0,8722724.0,7962139.0,9995496.0,7049277.0,6869213.0,5912950.0,5580025.0,3654045.0,610313.0,4084986.0,1864070.0,7187286.0,,811663,627813,88494.0,0.229,0.1162,0.5442,0.1105,0.12,0.7062,,"{""office"": ""U.S. Representative, District 25"", ""candidates"": [{""name"": ""Patricia Brown"", ""party"": ""D""}, {""name"": ""Linda Brown"", ""party"": ""R""}], ""source"": ""mock""}",Synthetic mock row — replace via scripts/build_master_dataset.py,mock
