district_id,pvi,party_control
TX-16,-18.0,D
TX-17,12.0,R
TX-18,-26.0,D
TX-19,28.0,R
TX-20,-16.0,D
TX-21,10.0,R
TX-22,8.0,R
TX-23,4.0,R
TX-24,8.0,R
TX-25,14.0,R
TX-26,14.0,R
TX-27,14.0,R
TX-28,-2.0,D
TX-29,-22.0,D
TX-30,-28.0,D
TX-31,10.0,R
TX-32,-8.0,D
TX-33,-26.0,D
TX-34,-6.0,D
TX-35,-20.0,D
TX-36,16.0,R
TX-37,-26.0,D
TX-38,12.0,R
UT-01,18.4,R
UT-02,17.2,R
UT-03,20.9,R
UT-04,23.5,R
VA-01,3.0,R
VA-02,1.0,R
VA-03,-16.1,D
VA-04,-14.1,D
VA-05,9.0,R
VA-06,6.8,R
VA-07,0.0,R
VA-08,-15.8,D
VA-09,9.9,R
VA-10,-13.7,D
VA-11,-15.4,D
VT-00,-28.7,D
WA-01,-21.4,D
WA-02,-23.1,D
WA-03,2.0,R
WA-04,6.4,R
WA-05,6.5,R
WA-06,-17.7,D
WA-07,-32.0,D
WA-08,-21.9,D
WA-09,-20.0,D
WA-10,-20.1,D
WI-01,2.0,R
WI-02,-12.7,D
WI-03,1.0,R
WI-04,-12.9,D
WI-05,8.2,R
WI-06,11.4,R
WI-07,9.9,R
WI-08,10.7,R
WV-01,23.3,R
WV-02,32.3,R
WY-00,33.9,R
