district_id,state,party_control,pvi,cook_rating,mode,hist_cost_to_compete
CA-21,CA,D,-23.8,Solid D,safe,10195200.0
CA-22,CA,D,2.0,Tilt R,attack,5333293.0
CA-23,CA,R,8.8,Likely R,safe,2160000.0
CA-24,CA,D,-23.0,Solid D,safe,9120000.0
CA-25,CA,D,-22.9,Solid D,safe,8992800.0
CA-26,CA,D,-21.0,Solid D,safe,6880000.0
CA-27,CA,D,-1.0,Toss-up,attack,7734276.0
CA-28,CA,D,-20.2,Solid D,safe,6163200.0
CA-29,CA,D,-21.6,Solid D,safe,7484800.0
CA-30,CA,D,-23.3,Solid D,safe,9511200.0
CA-31,CA,D,-23.7,Solid D,safe,10055200.0
CA-32,CA,D,-19.1,Solid D,safe,5344800.0
CA-33,CA,D,-20.8,Solid D,safe,6691200.0
CA-34,CA,D,-20.6,Solid D,safe,6508800.0
CA-35,CA,D,-17.6,Solid D,safe,4540800.0
CA-36,CA,D,-23.6,Solid D,safe,9916800.0
CA-37,CA,D,-16.9,Solid D,safe,4288800.0
CA-38,CA,D,-15.7,Solid D,safe,4039200.0
CA-39,CA,D,-18.8,Solid D,safe,5155200.0
CA-40,CA,R,11.7,Solid R,safe,8871016.0
CA-41,CA,R,2.0,Tilt R,defend,9309132.0
CA-42,CA,D,-23.3,Solid D,safe,9511200.0
CA-43,CA,D,-20.0,Solid D,safe,6000000.0
CA-44,CA,D,-22.9,Solid D,safe,8992800.0
CA-45,CA,D,1.0,Toss-up,attack,8075719.0
CA-46,CA,D,-22.0,Solid D,safe,7920000.0
CA-47,CA,D,-22.6,Solid D,safe,8620800.0
CA-48,CA,R,11.9,Solid R,safe,5043444.0
CA-49,CA,D,-19.4,Solid D,safe,6081727.0
CA-50,CA,R,10.5,Solid R,safe,2700000.0
CA-51,CA,D,-24.0,Solid D,safe,10480000.0
CA-52,CA,D,-24.0,Solid D,safe,10480000.0
CO-01,CO,D,-19.0,Solid D,safe,5280000.0
CO-02,CO,D,-19.9,Solid D,safe,5920800.0
CO-03,CO,R,4.7,Lean R,defend,9576694.0
CO-04,CO,R,10.1,Solid R,safe,7738677.0
CO-05,CO,R,7.3,Likely R,defend,2635260.0
CO-06,CO,D,-16.5,Solid D,safe,4180000.0
CO-07,CO,D,-19.5,Solid D,safe,5620000.0
CO-08,CO,R,0.0,Toss-up,defend,6096503.0
CT-01,CT,D,-20.6,Solid D,safe,6508800.0
CT-02,CT,D,-24.4,Solid D,safe,11068800.0
CT-03,CT,D,-22.3,Solid D,safe,8263200.0
CT-04,CT,D,-16.4,Solid D,safe,4156800.0
CT-05,CT,D,-22.1,Solid D,safe,8032800.0
DE-00,DE,D,-17.0,Solid D,safe,4320000.0
FL-01,FL,R,12.2,Solid R,safe,5155157.0
FL-02,FL,R,11.3,Solid R,safe,6776713.0
FL-03,FL,R,10.6,Solid R,safe,2740000.0
FL-04,FL,R,14.7,Solid R,safe,4380000.0
FL-05,FL,R,12.1,Solid R,safe,3340000.0
FL-06,FL,R,15.8,Solid R,safe,4051200.0
FL-07,FL,R,11.6,Solid R,safe,3140000.0
FL-08,FL,R,13.4,Solid R,safe,3860000.0
FL-09,FL,D,-7.1,Likely D,attack,3514608.0
FL-10,FL,D,-7.3,Likely D,attack,1860000.0
FL-11,FL,R,11.7,Solid R,safe,3180000.0
FL-12,FL,R,13.1,Solid R,safe,3740000.0
FL-13,FL,R,14.3,Solid R,safe,4220000.0
FL-14,FL,D,-9.7,Likely D,safe,3355195.0
FL-15,FL,R,16.6,Solid R,safe,4204800.0
FL-16,FL,R,16.8,Solid R,safe,4259200.0
FL-17,FL,R,12.0,Solid R,safe,3300000.0
FL-18,FL,R,12.5,Solid R,safe,3500000.0
FL-19,FL,R,13.9,Solid R,safe,6188242.0
FL-20,FL,D,-7.8,Likely D,attack,2331882.0
FL-21,FL,R,21.1,Solid R,safe,6976800.0
FL-22,FL,D,-8.8,Likely D,safe,8199175.0
FL-23,FL,D,-7.5,Likely D,attack,2192067.0
FL-24,FL,D,-10.1,Solid D,safe,2540000.0
FL-25,FL,D,-10.1,Solid D,safe,4090672.0
FL-26,FL,R,14.5,Solid R,safe,4300000.0
FL-27,FL,R,18.7,Solid R,safe,5095200.0
FL-28,FL,R,20.9,Solid R,safe,6784800.0
GA-01,GA,R,4.7,Lean R,defend,2200000.0
GA-02,GA,D,-7.1,Likely D,attack,1820000.0
GA-03,GA,R,6.9,Likely R,defend,2306715.0
GA-04,GA,D,-10.0,Solid D,safe,2500000.0
GA-05,GA,D,-30.0,Solid D,safe,22000000.0
GA-06,GA,D,-8.9,Likely D,safe,2180000.0
GA-07,GA,D,-8.9,Likely D,safe,2180000.0
GA-08,GA,R,11.7,Solid R,safe,3180000.0
GA-09,GA,R,8.4,Likely R,safe,2080000.0
GA-10,GA,R,6.0,Likely R,defend,1671952.0
GA-11,GA,R,11.3,Solid R,safe,3020000.0
GA-12,GA,R,10.4,Solid R,safe,2660000.0
GA-13,GA,D,-10.0,Solid D,safe,2500000.0
GA-14,GA,R,16.1,Solid R,safe,7684250.0
HI-01,HI,D,-25.9,Solid D,safe,13504800.0
HI-02,HI,D,-22.1,Solid D,safe,8032800.0
IA-01,IA,R,2.0,Tilt R,defend,6766692.0
IA-02,IA,R,16.0,Solid R,safe,4080000.0
IA-03,IA,R,1.0,Toss-up,defend,5269701.0
IA-04,IA,R,19.1,Solid R,safe,5344800.0
ID-01,ID,R,28.0,Solid R,safe,17520000.0
ID-02,ID,R,28.9,Solid R,safe,19456800.0
IL-01,IL,D,-18.4,Solid D,safe,4924800.0
IL-02,IL,D,-15.0,Solid D,safe,4000000.0
IL-03,IL,D,-15.6,Solid D,safe,4028800.0
IL-04,IL,D,-14.3,Solid D,safe,4220000.0
IL-05,IL,D,-16.6,Solid D,safe,4204800.0
IL-06,IL,D,-13.8,Solid D,safe,4020000.0
IL-07,IL,D,-34.0,Solid D,safe,25000000.0
IL-08,IL,D,-17.6,Solid D,safe,6687710.0
IL-09,IL,D,-19.2,Solid D,safe,5411200.0
IL-10,IL,D,-21.1,Solid D,safe,6976800.0
IL-11,IL,D,-19.3,Solid D,safe,5479200.0
IL-12,IL,R,11.0,Solid R,safe,2900000.0
IL-13,IL,D,-20.0,Solid D,safe,6000000.0
IL-14,IL,D,-18.0,Solid D,safe,4720000.0
IL-15,IL,R,15.0,Solid R,safe,4000000.0
IL-16,IL,R,13.0,Solid R,safe,3700000.0
IL-17,IL,D,-13.5,Solid D,safe,3900000.0
IN-01,IN,D,-10.0,Solid D,safe,2612089.0
IN-02,IN,D,-4.6,Lean D,attack,2520729.0
IN-03,IN,R,19.7,Solid R,safe,5767200.0
IN-04,IN,R,14.7,Solid R,safe,4380000.0
IN-05,IN,R,18.6,Solid R,safe,5036800.0
IN-06,IN,R,19.8,Solid R,safe,5843200.0
IN-07,IN,R,18.3,Solid R,safe,4871200.0
IN-08,IN,R,24.2,Solid R,safe,10771200.0
IN-09,IN,R,25.1,Solid R,safe,12160800.0
KS-01,KS,R,14.9,Solid R,safe,4460000.0
KS-02,KS,R,15.7,Solid R,safe,4039200.0
KS-03,KS,R,18.2,Solid R,safe,4819200.0
KS-04,KS,R,17.6,Solid R,safe,4540800.0
KY-01,KY,R,20.7,Solid R,safe,6599200.0
KY-02,KY,R,22.3,Solid R,safe,8263200.0
KY-03,KY,D,-9.7,Likely D,safe,2340000.0
KY-04,KY,R,26.9,Solid R,safe,15328800.0
KY-05,KY,R,23.6,Solid R,safe,9916800.0
KY-06,KY,R,26.9,Solid R,safe,15328800.0
LA-01,LA,R,12.3,Solid R,safe,6686246.0
LA-02,LA,D,-7.0,Likely D,attack,1800000.0
LA-03,LA,R,20.9,Solid R,safe,6784800.0
LA-04,LA,R,22.0,Solid R,safe,9469297.0
LA-05,LA,R,27.9,Solid R,safe,17312800.0
LA-06,LA,R,25.3,Solid R,safe,12487200.0
MA-01,MA,D,-26.6,Solid D,safe,14764800.0
MA-02,MA,D,-19.4,Solid D,safe,5548800.0
MA-03,MA,D,-26.6,Solid D,safe,14764800.0
MA-04,MA,D,-23.2,Solid D,safe,9379200.0
MA-05,MA,D,-23.3,Solid D,safe,9511200.0
MA-06,MA,D,-26.5,Solid D,safe,14580000.0
MA-07,MA,D,-32.0,Solid D,safe,25000000.0
MA-08,MA,D,-22.0,Solid D,safe,7920000.0
MA-09,MA,D,-24.0,Solid D,safe,10480000.0
MD-01,MD,R,5.6,Lean R,defend,2200000.0
MD-02,MD,D,-27.8,Solid D,safe,17107200.0
MD-03,MD,D,-23.8,Solid D,safe,10195200.0
MD-04,MD,D,-32.0,Solid D,safe,25000000.0
MD-05,MD,D,-28.1,Solid D,safe,17728800.0
MD-06,MD,D,-30.0,Solid D,safe,22000000.0
MD-07,MD,D,-23.5,Solid D,safe,9780000.0
MD-08,MD,D,-27.3,Solid D,safe,16103200.0
ME-01,ME,D,-14.8,Solid D,safe,4420000.0
ME-02,ME,R,2.0,Tilt R,defend,5291407.0
MI-01,MI,R,8.7,Likely R,safe,2342745.0
MI-02,MI,R,7.7,Likely R,defend,1940000.0
MI-03,MI,R,7.4,Likely R,defend,3301583.0
MI-04,MI,R,8.8,Likely R,safe,3148356.0
MI-05,MI,R,5.9,Lean R,defend,2200000.0
MI-06,MI,D,-8.9,Likely D,safe,2180000.0
MI-07,MI,R,1.0,Toss-up,defend,6545079.0
MI-08,MI,R,0.0,Toss-up,defend,6719891.0
MI-09,MI,R,12.0,Solid R,safe,3300000.0
MI-10,MI,R,2.0,Tilt R,defend,6792814.0
MI-11,MI,D,-8.9,Likely D,safe,2180000.0
MI-12,MI,D,-10.9,Solid D,safe,4138050.0
MI-13,MI,D,-28.0,Solid D,safe,17520000.0
MN-01,MN,R,3.0,Tilt R,defend,2800000.0
MN-02,MN,D,-12.1,Solid D,safe,5218528.0
MN-03,MN,D,-13.0,Solid D,safe,3700000.0
MN-04,MN,D,-13.9,Solid D,safe,4060000.0
MN-05,MN,D,-28.0,Solid D,safe,17520000.0
MN-06,MN,R,11.1,Solid R,safe,4525909.0
MN-07,MN,R,11.0,Solid R,safe,2900000.0
MN-08,MN,R,11.9,Solid R,safe,3260000.0
MO-01,MO,D,-11.0,Solid D,safe,2900000.0
MO-02,MO,R,12.5,Solid R,safe,3500000.0
MO-03,MO,R,17.1,Solid R,safe,4352800.0
MO-04,MO,R,17.6,Solid R,safe,4540800.0
MO-05,MO,D,-7.7,Likely D,attack,1940000.0
MO-06,MO,R,19.7,Solid R,safe,5767200.0
MO-07,MO,R,21.2,Solid R,safe,7075200.0
MO-08,MO,R,21.5,Solid R,safe,7380000.0
MS-01,MS,R,18.0,Solid R,safe,4720000.0
MS-02,MS,D,-7.5,Likely D,attack,1900000.0
MS-03,MS,R,23.5,Solid R,safe,9780000.0
MS-04,MS,R,22.6,Solid R,safe,8620800.0
MT-01,MT,R,6.0,Likely R,defend,7409524.0
MT-02,MT,R,14.0,Solid R,safe,4100000.0
NC-01,NC,R,1.0,Toss-up,defend,6442208.0
NC-02,NC,D,-7.8,Likely D,attack,1960000.0
NC-03,NC,R,8.4,Likely R,safe,2080000.0
NC-04,NC,D,-9.1,Likely D,safe,2220000.0
NC-05,NC,R,7.3,Likely R,defend,1860000.0
NC-06,NC,R,9.5,Likely R,safe,2418976.0
NC-07,NC,R,11.1,Solid R,safe,2940000.0
NC-08,NC,R,7.8,Likely R,defend,2354000.0
NC-09,NC,R,10.6,Solid R,safe,2788219.0
NC-10,NC,R,11.2,Solid R,safe,2980000.0
NC-11,NC,R,10.3,Solid R,safe,2620000.0
NC-12,NC,D,-10.6,Solid D,safe,2740000.0
NC-13,NC,R,9.7,Likely R,safe,5923580.0
NC-14,NC,D,-11.6,Solid D,safe,3140000.0
ND-00,ND,R,24.7,Solid R,safe,11527200.0
NE-01,NE,R,15.1,Solid R,safe,4000800.0
NE-02,NE,R,1.0,Toss-up,defend,6306383.0
NE-03,NE,R,20.5,Solid R,safe,6420000.0
NH-01,NH,D,-1.0,Toss-up,attack,4952407.0
NH-02,NH,D,-13.7,Solid D,safe,4541871.0
NJ-01,NJ,D,-13.6,Solid D,safe,3940000.0
NJ-02,NJ,R,4.6,Lean R,defend,2383573.0
NJ-03,NJ,D,-15.8,Solid D,safe,4051200.0
NJ-04,NJ,R,4.9,Lean R,defend,2200000.0
NJ-05,NJ,D,-16.6,Solid D,safe,4787827.0
NJ-06,NJ,D,-14.7,Solid D,safe,4380000.0
NJ-07,NJ,R,1.0,Toss-up,defend,7597595.0
NJ-08,NJ,D,-14.7,Solid D,safe,4380000.0
NJ-09,NJ,D,-11.1,Solid D,safe,2940000.0
NJ-10,NJ,D,-11.2,Solid D,safe,2980000.0
NJ-11,NJ,D,-11.3,Solid D,safe,3916469.0
NJ-12,NJ,D,-10.1,Solid D,safe,2540000.0
NM-01,NM,D,-16.7,Solid D,safe,4231200.0
NM-02,NM,R,1.0,Toss-up,defend,5182314.0
NM-03,NM,D,-13.0,Solid D,safe,3700000.0
NV-01,NV,D,-2.0,Tilt D,attack,2800000.0
NV-02,NV,R,10.2,Solid R,safe,2580000.0
NV-03,NV,R,0.0,Toss-up,defend,7500867.0
NV-04,NV,D,-2.0,Tilt D,attack,3659817.0
NY-01,NY,R,5.1,Lean R,defend,5737194.0
NY-02,NY,R,8.7,Likely R,safe,2206638.0
NY-03,NY,R,2.0,Tilt R,defend,8630488.0
NY-04,NY,R,2.0,Tilt R,defend,4414565.0
NY-05,NY,D,-12.5,Solid D,safe,3500000.0
NY-06,NY,D,-15.6,Solid D,safe,4028800.0
NY-07,NY,D,-16.3,Solid D,safe,4135200.0
NY-08,NY,D,-19.8,Solid D,safe,5843200.0
NY-09,NY,D,-19.8,Solid D,safe,5843200.0
NY-10,NY,D,-16.2,Solid D,safe,4115200.0
NY-11,NY,R,7.1,Likely R,defend,1820000.0
NY-12,NY,D,-20.3,Solid D,safe,10290388.0
NY-13,NY,D,-36.0,Solid D,safe,25000000.0
NY-14,NY,D,-17.8,Solid D,safe,15575059.0
NY-15,NY,D,-34.0,Solid D,safe,25000000.0
NY-16,NY,D,-16.9,Solid D,safe,4288800.0
NY-17,NY,R,1.0,Toss-up,defend,13006702.0
NY-18,NY,D,-15.7,Solid D,safe,4774970.0
NY-19,NY,R,1.0,Toss-up,defend,6938587.0
NY-20,NY,D,-17.8,Solid D,safe,4627200.0
NY-21,NY,R,9.8,Likely R,safe,10967557.0
NY-22,NY,R,1.0,Toss-up,defend,4478180.0
NY-23,NY,R,10.9,Solid R,safe,2860000.0
NY-24,NY,R,11.6,Solid R,safe,3140000.0
NY-25,NY,D,-19.9,Solid D,safe,5920800.0
NY-26,NY,D,-15.9,Solid D,safe,4064800.0
OH-01,OH,D,-4.0,Lean D,attack,3340045.0
OH-02,OH,R,12.5,Solid R,safe,3825325.0
OH-03,OH,D,-10.9,Solid D,safe,2860000.0
OH-04,OH,R,12.1,Solid R,safe,7262617.0
OH-05,OH,R,8.9,Likely R,safe,2180000.0
OH-06,OH,R,9.3,Likely R,safe,2260000.0
OH-07,OH,R,14.8,Solid R,safe,4420000.0
OH-08,OH,R,14.2,Solid R,safe,4180000.0
OH-09,OH,D,2.0,Tilt R,attack,3948277.0
OH-10,OH,R,13.7,Solid R,safe,3980000.0
OH-11,OH,D,-12.2,Solid D,safe,3380000.0
OH-12,OH,R,13.6,Solid R,safe,3940000.0
OH-13,OH,D,1.0,Toss-up,attack,3500000.0
OH-14,OH,R,17.6,Solid R,safe,4540800.0
OH-15,OH,R,17.8,Solid R,safe,4627200.0
OK-01,OK,R,24.9,Solid R,safe,11840800.0
OK-02,OK,R,28.1,Solid R,safe,17728800.0
OK-03,OK,R,26.0,Solid R,safe,13680000.0
OK-04,OK,R,29.2,Solid R,safe,20131200.0
OK-05,OK,R,29.6,Solid R,safe,21052800.0
OR-01,OR,D,-19.7,Solid D,safe,5767200.0
OR-02,OR,R,5.5,Lean R,defend,2200000.0
OR-03,OR,D,-16.8,Solid D,safe,4259200.0
OR-04,OR,D,-20.8,Solid D,safe,6691200.0
OR-05,OR,R,1.0,Toss-up,defend,6669072.0
OR-06,OR,D,-16.4,Solid D,safe,4156800.0
PA-01,PA,R,8.3,Likely R,safe,4813416.0
PA-02,PA,D,-9.8,Likely D,safe,2360000.0
PA-03,PA,D,-36.0,Solid D,safe,25000000.0
PA-04,PA,D,-9.4,Likely D,safe,2280000.0
PA-05,PA,D,-12.7,Solid D,safe,3580000.0
PA-06,PA,D,-5.2,Lean D,attack,2200000.0
PA-07,PA,R,0.0,Toss-up,defend,5993250.0
PA-08,PA,R,1.0,Toss-up,defend,6248360.0
PA-09,PA,R,11.1,Solid R,safe,2940000.0
PA-10,PA,R,2.0,Tilt R,defend,5777263.0
PA-11,PA,R,10.4,Solid R,safe,2660000.0
PA-12,PA,D,-9.8,Likely D,safe,2360000.0
PA-13,PA,R,11.9,Solid R,safe,3260000.0
PA-14,PA,R,10.2,Solid R,safe,2580000.0
PA-15,PA,R,12.5,Solid R,safe,3500000.0
PA-16,PA,R,10.5,Solid R,safe,2700000.0
PA-17,PA,D,-1.0,Toss-up,attack,3500000.0
RI-01,RI,D,-17.7,Solid D,safe,4583200.0
RI-02,RI,D,-20.1,Solid D,safe,6080800.0
SC-01,SC,R,16.3,Solid R,safe,4135200.0
SC-02,SC,R,15.4,Solid R,safe,4012800.0
SC-03,SC,R,17.3,Solid R,safe,4423200.0
SC-04,SC,R,23.8,Solid R,safe,10195200.0
SC-05,SC,R,20.7,Solid R,safe,6599200.0
SC-06,SC,D,-7.5,Likely D,attack,1900000.0
SC-07,SC,R,21.4,Solid R,safe,7276800.0
SD-00,SD,R,21.9,Solid R,safe,7808800.0
TN-01,TN,R,22.6,Solid R,safe,8620800.0
TN-02,TN,R,24.5,Solid R,safe,11220000.0
TN-03,TN,R,22.3,Solid R,safe,8263200.0
TN-04,TN,R,26.4,Solid R,safe,14396800.0
TN-05,TN,R,23.7,Solid R,safe,10055200.0
TN-06,TN,R,21.3,Solid R,safe,7175200.0
TN-07,TN,R,24.4,Solid R,safe,11068800.0
TN-08,TN,R,24.5,Solid R,safe,11220000.0
TN-09,TN,D,-8.5,Likely D,safe,2473456.0
TX-01,TX,R,26.0,Solid R,safe,13680000.0
TX-02,TX,R,13.0,Solid R,safe,3700000.0
TX-03,TX,R,12.0,Solid R,safe,3300000.0
TX-04,TX,R,18.0,Solid R,safe,4720000.0
TX-05,TX,R,14.0,Solid R,safe,4100000.0
TX-06,TX,R,12.0,Solid R,safe,3300000.0
TX-07,TX,D,-24.0,Solid D,safe,10480000.0
TX-08,TX,R,22.0,Solid R,safe,7920000.0
TX-09,TX,D,-28.0,Solid D,safe,17520000.0
TX-10,TX,R,11.0,Solid R,safe,2900000.0
TX-11,TX,R,28.0,Solid R,safe,17520000.0
TX-12,TX,R,14.0,Solid R,safe,4100000.0
TX-13,TX,R,30.0,Solid R,safe,22000000.0
TX-14,TX,R,16.0,Solid R,safe,4080000.0
TX-15,TX,R,3.0,Tilt R,defend,5475267.0
TX-16,TX,D,-18.0,Solid D,safe,4720000.0
TX-17,TX,R,12.0,Solid R,safe,3300000.0
TX-18,TX,D,-26.0,Solid D,safe,13680000.0
TX-19,TX,R,28.0,Solid R,safe,17520000.0
TX-20,TX,D,-16.0,Solid D,safe,4080000.0
TX-21,TX,R,10.0,Solid R,safe,3076209.0
TX-22,TX,R,8.0,Likely R,safe,2000000.0
TX-23,TX,R,4.0,Lean R,defend,4508595.0
TX-24,TX,R,8.0,Likely R,safe,2000000.0
TX-25,TX,R,14.0,Solid R,safe,4100000.0
TX-26,TX,R,14.0,Solid R,safe,4100000.0
TX-27,TX,R,14.0,Solid R,safe,4100000.0
TX-28,TX,D,-2.0,Tilt D,attack,2800000.0
TX-29,TX,D,-22.0,Solid D,safe,7920000.0
TX-30,TX,D,-28.0,Solid D,safe,17520000.0
TX-31,TX,R,10.0,Solid R,safe,2500000.0
TX-32,TX,D,-8.0,Likely D,safe,5588763.0
TX-33,TX,D,-26.0,Solid D,safe,13680000.0
TX-34,TX,D,-6.0,Likely D,attack,5380912.0
TX-35,TX,D,-20.0,Solid D,safe,6000000.0
TX-36,TX,R,16.0,Solid R,safe,4080000.0
TX-37,TX,D,-26.0,Solid D,safe,13680000.0
TX-38,TX,R,12.0,Solid R,safe,3300000.0
UT-01,UT,R,18.4,Solid R,safe,4924800.0
UT-02,UT,R,17.2,Solid R,safe,4387200.0
UT-03,UT,R,20.9,Solid R,safe,6784800.0
UT-04,UT,R,23.5,Solid R,safe,9780000.0
VA-01,VA,R,3.0,Tilt R,defend,3543286.0
VA-02,VA,R,1.0,Toss-up,defend,5628821.0
VA-03,VA,D,-16.1,Solid D,safe,4096800.0
VA-04,VA,D,-14.1,Solid D,safe,4140000.0
VA-05,VA,R,9.0,Likely R,safe,2200000.0
VA-06,VA,R,6.8,Likely R,defend,1760000.0
VA-07,VA,R,0.0,Toss-up,defend,11778977.0
VA-08,VA,D,-15.8,Solid D,safe,4051200.0
VA-09,VA,R,9.9,Likely R,safe,2380000.0
VA-10,VA,D,-13.7,Solid D,safe,4583979.0
VA-11,VA,D,-15.4,Solid D,safe,4012800.0
VT-00,VT,D,-28.7,Solid D,safe,19015200.0
WA-01,WA,D,-21.4,Solid D,safe,7276800.0
WA-02,WA,D,-23.1,Solid D,safe,9248800.0
WA-03,WA,R,2.0,Tilt R,defend,6910949.0
WA-04,WA,R,6.4,Likely R,defend,2049135.0
WA-05,WA,R,6.5,Likely R,defend,3144057.0
WA-06,WA,D,-17.7,Solid D,safe,4583200.0
WA-07,WA,D,-32.0,Solid D,safe,25000000.0
WA-08,WA,D,-21.9,Solid D,safe,7808800.0
WA-09,WA,D,-20.0,Solid D,safe,6000000.0
WA-10,WA,D,-20.1,Solid D,safe,6080800.0
WI-01,WI,R,2.0,Tilt R,defend,4620984.0
WI-02,WI,D,-12.7,Solid D,safe,3580000.0
WI-03,WI,R,1.0,Toss-up,defend,9822262.0
WI-04,WI,D,-12.9,Solid D,safe,3660000.0
WI-05,WI,R,8.2,Likely R,safe,2040000.0
WI-06,WI,R,11.4,Solid R,safe,3060000.0
WI-07,WI,R,9.9,Likely R,safe,3182160.0
WI-08,WI,R,10.7,Solid R,safe,2780000.0
WV-01,WV,R,23.3,Solid R,safe,9511200.0
WV-02,WV,R,32.3,Solid R,safe,25000000.0
WY-00,WY,R,33.9,Solid R,safe,25000000.0
